genome	denovo_gene	outgroup	noncoding_match_contig	noncoding_match_start	noncoding_match_end	noncoding_match_strand	intergenic	f+0	f+1	f+2	n_genes	gene_matches
Thermococcus_sp_E15p33	EGODEMLK_01263_gene_mRNA	Thermococcus_sp_AMTc79	11778	1399119	1399197	+	74	0	0	4	1	EFDKJKPG_01600
Thermococcus_sp_E15p33	EGODEMLK_01335_gene_mRNA	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	913715	913868	+	126	0	4	0	2	AJGPKGBP_01011;AJGPKGBP_01012
Thermococcus_sp_E15p33	EGODEMLK_01592_gene_mRNA	Thermococcus_sp_AMTc09	12160	2014972	2015134	+	162	0	0	0	0	
Thermococcus_sp_IRI10c	BICEADNH_01532_gene_mRNA	Thermococcus_23_2	7487	687904	688021	+	117	0	0	0	0	
Thermococcus_sp_IRI14c	FCCLJDJA_00457_gene_mRNA	Thermococcus_23_2	7487	687904	688021	+	117	0	0	0	0	
Thermococcus_sp_IRI25c	AAAKJNHH_00460_gene_mRNA	Thermococcus_23_2	7487	687904	688021	+	117	0	0	0	0	
Thermococcus_sp_IRI29c	LAMLPHDI_01330_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	1278723	1278933	+	210	0	0	0	0	
Thermococcus_sp_IRI_33c	KNECDIJF_00704_gene_mRNA	Thermococcus_15_2	7488	184052	184139	-	65	0	0	22	1	OFPOBCOD_00201
Thermococcus_sp_TPV	BEODAGIL_00145_gene_mRNA	Thermococcus_sp_AMTc71	13480	1224215	1224380	+	161	0	0	4	1	PHBODLGA_01337
Thermococcus_sp_TPV	BEODAGIL_00388_gene_mRNA	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	1436512	1436674	-	162	0	0	0	0	
Thermococcus_sp_TPV	BEODAGIL_01262_gene_mRNA	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	1794910	1795018	+	108	0	0	0	0	
Thermococcus_stetteri_DSM_5262	ACBJCPJC_01068_gene_mRNA	Thermococcus_coalescens_TS1	14020	738861	738978	+	117	0	0	0	0	
Thermococcus_stetteri_DSM_5262	ACBJCPJC_02229_gene_mRNA	Thermococcus_IRI15c	11152	192935	193133	-	198	0	0	0	0	
Thermococcus_waiotapuensis_WT1	PBMLHHBH_01917_gene_mRNA	GCA_000258515@Thermococcus_zilligii_AN1	NZ_AJLF01000001	1000145	1000346	+	201	0	0	0	0	
